Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-03,2111.24,2152.97,2111.24,2152.97
2018-01-04,2153.87,2197.6,2153.87,2197.6
2018-01-05,2196.69,2207.41,2188.35,2207.41
2018-01-09,2211.4,2242.87,2211.4,2225.39
2018-01-10,2227.33,2233.63,2213.77,2232.27
2018-01-11,2232.19,2246.82,2221.61,2246.45
2018-01-12,2245.7,2262.38,2234.42,2262.38
2018-01-15,2268.01,2280.17,2259.66,2261.53
2018-01-16,2262.09,2265.64,2232.92,2257.89
2018-01-17,2250.71,2277.89,2231.7,2277.89
2018-01-18,2279.34,2299.64,2279.34,2297.47
2018-01-19,2298.07,2306.79,2273.24,2286.33
2018-01-22,2286.04,2308.61,2285.32,2308.61
2018-01-23,2311.99,2315.77,2281.52,2298.95
2018-01-24,2297.69,2306.99,2283.2,2306.99
2018-01-25,2311.56,2328.48,2307.62,2320.03
2018-01-26,2317.15,2317.15,2281.71,2295.26
2018-01-29,2295.34,2303.49,2280.92,2284.27
2018-01-30,2276.37,2301.98,2264.16,2280.36
2018-01-31,2278.83,2295.88,2266.95,2289.99
2018-02-01,2292.22,2313.21,2288.31,2302.57
2018-02-02,2303.06,2309.6,2272.84,2281.84
2018-02-05,2272.67,2281.97,2255.43,2276.85
2018-02-06,2233.31,2258.79,2222.85,2238.24
2018-02-07,2247.99,2267.35,2247.99,2254.64
2018-02-08,2248.98,2259.4,2227.24,2227.24
2018-02-09,2209.67,2217.89,2181.96,2197.12
2018-02-12,2208.98,2229.81,2206.28,2220.12
2018-02-13,2225.71,2250.63,2220.69,2250.63
2018-02-14,2252.95,2259.06,2232.96,2257.95
2018-02-15,2267.82,2280.27,2265.45,2265.45
2018-02-16,2266.42,2283.65,2248.3,2255.27
2018-02-19,2255.37,2266.89,2251.18,2254.92
2018-02-20,2256.01,2271.37,2254.92,2270.12
2018-02-21,2268.27,2320.32,2265.85,2320.32
2018-02-22,2316.09,2336.82,2307.28,2336.82
2018-02-26,2353.89,2376.96,2346.73,2353.16
2018-02-27,2356.75,2357.1,2333.38,2341.89
2018-02-28,2338.26,2338.26,2296.8,2296.8
2018-03-01,2286.41,2306.51,2281.22,2297.9
2018-03-02,2295.15,2301.77,2263.77,2288.84
2018-03-05,2291.9,2317.01,2291.9,2309.53
2018-03-06,2312.6,2325.16,2302.11,2303.32
2018-03-07,2299.38,2299.38,2269.9,2291.23
2018-03-09,2290.77,2311.69,2286.23,2311.69
2018-03-12,2317.19,2326.41,2309.6,2318.01
2018-03-13,2315.24,2326.06,2305.25,2319.38
2018-03-14,2316.6,2316.6,2275.24,2275.24
2018-03-15,2275.06,2284.79,2262.21,2272.49
2018-03-16,2273.51,2294.6,2255.95,2294.6
2018-03-19,2299.01,2302.78,2279.5,2281.72
2018-03-20,2281.53,2293.85,2263.48,2291.18
